timestamp,blockReward
1686078143,0.026001795641242367
1686078155,0.059669916041783676
1686078167,0.275355427161059542
1686078179,0.031033346040321469
1686078191,0.035689258907577918
1686078203,0.04934464649518063
1686078215,0.066437841395248533
1686078227,0.060644312803295342
1686078239,0.045840417784744245
1686078251,0.277801898747371528
1686078263,0.080788931227092679
1686078275,0.075127855772193225
1686078287,0.093930296241937779
1686078299,0.054347641585845558
1686078311,0.064784813824693502
1686078323,0.095919855131027999
1686078335,0.228112506168051228
1686078347,0.135099300723273168
1686078359,0.080381657763039487
1686078371,0.103824318985335115
1686078383,0.083799212834353444
1686078395,0.062011599575476647
1686078407,0.077563536773157333
1686078419,0.245132166266944528
1686078431,0.039125300117210552
1686078443,0.073491999943560634
1686078455,0.194973739977282329
1686078467,0.022887913015074621
1686078479,0.076891958304985714
1686078491,0.16621642119864483
1686078503,0.513929229230821221
1686078515,0.837801824851886906
1686078527,0.100938105697844319
1686078539,0.157212057567023401
1686078551,0.061890829451566232
1686078563,0.249913430729397584
1686078575,0.031337405329541671
1686078587,0.139562443172402589
1686078599,0.215476655159675557
1686078611,0.140684295058322695
1686078623,0.081218851737922018
1686078635,1.363950670912658583
1686078647,0.060813753338202833
1686078659,0.2401319553311148
1686078671,0.137625413698962491
1686078683,0.049472713215977831
1686078695,0.039589088154780274
1686078707,0.049571838348644642
1686078719,0.029209338514084732
1686078731,0.200622293096444031
1686078743,0.117865260671150781
1686078755,0.127859173578835024
1686078767,0.027778218062140164
1686078779,0.057563795008763442
1686078791,0.038707057143231643
